2026-05-23 08:56:41,877 [parser] reading multistream index from /mnt/data/downloads/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 11:39:14,763 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:02:19,658 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:03:14,777 [parser] got 255166 unique offsets
2026-05-23 12:03:14,780 [parser] limited to first 10 offsets (test mode)
2026-05-23 12:03:16,170 [w325880] worker 9 block @10180767 decompress failed: 
2026-05-23 12:14:15,564 [parser] reading multistream index from /mnt/surge-data/enwiki-20260401-pages-articles-multistream-index.txt.bz2
2026-05-23 12:15:11,833 [parser] got 255166 unique offsets
2026-05-23 19:44:31,523 [loader] [LOADER] 36,500 docs written | 1,043,643 links written | 14,000 docs/min
2026-05-23 19:45:31,524 [loader] [LOADER] 50,500 docs written | 1,483,851 links written | 14,000 docs/min
2026-05-23 19:46:31,524 [loader] [LOADER] 60,500 docs written | 1,890,253 links written | 10,000 docs/min
2026-05-23 19:47:31,525 [loader] [LOADER] 71,000 docs written | 2,230,174 links written | 10,500 docs/min
2026-05-23 19:48:31,530 [loader] [LOADER] 81,000 docs written | 2,594,511 links written | 10,000 docs/min
2026-05-23 19:49:31,540 [loader] [LOADER] 90,000 docs written | 2,902,809 links written | 9,000 docs/min
2026-05-23 19:50:31,540 [loader] [LOADER] 98,500 docs written | 3,221,705 links written | 8,500 docs/min
2026-05-23 19:51:31,541 [loader] [LOADER] 109,500 docs written | 3,580,418 links written | 11,000 docs/min
2026-05-23 19:52:31,541 [loader] [LOADER] 119,500 docs written | 3,917,496 links written | 10,000 docs/min
2026-05-23 19:52:50,576 [loader] doc batch failed: invalid page in block 1440 of relation "base/16384/118188"
Traceback (most recent call last):
  File "/home/stargazer/Desktop/surge-engine/wiki-parser/loader.py", line 52, in run
    execute_values(
    ~~~~~~~~~~~~~~^
        cur,
        ^^^^
    ...<3 lines>...
        page_size=500,
        ^^^^^^^^^^^^^^
    )
    ^
